REGION_CLASS	REGION_MEMBER	USED_MEMBER	USED_CLASS	SOURCE_TYPE
demo.taint.RuntimeExec	defaultProperties	HashMap()	java.util.HashMap	SOURCE
demo.taint.RuntimeExec	getCommand(java.util.Map)	HashMap(java.util.Map)	java.util.HashMap	SOURCE
demo.taint.RuntimeExec	getCommand(java.util.Map)	putAll(java.util.Map)	java.util.Map	SOURCE
demo.taint.RuntimeExec	getCommand(java.util.Map)	ArrayList(int)	java.util.ArrayList	SOURCE
demo.taint.RuntimeExec	getCommand(java.util.Map)	StringBuilder(java.lang.String)	java.lang.StringBuilder	SOURCE
demo.taint.RuntimeExec	getCommand(java.util.Map)	entrySet()	java.util.Map	SOURCE
demo.taint.RuntimeExec	getCommand(java.util.Map)	getKey()	java.util.Map$Entry	SOURCE
demo.taint.RuntimeExec	getCommand(java.util.Map)	getValue()	java.util.Map$Entry	SOURCE
demo.taint.RuntimeExec	getCommand(java.util.Map)	indexOf(java.lang.String)	java.lang.StringBuilder	SOURCE
demo.taint.RuntimeExec	getCommand(java.util.Map)	replace(int,int,java.lang.String)	java.lang.StringBuilder	SOURCE
demo.taint.RuntimeExec	getCommand(java.util.Map)	length()	java.lang.String	SOURCE
demo.taint.RuntimeExec	getCommand(java.util.Map)	indexOf(java.lang.String,int)	java.lang.StringBuilder	SOURCE
demo.taint.RuntimeExec	getCommand(java.util.Map)	toString()	java.lang.StringBuilder	SOURCE
demo.taint.RuntimeExec	getCommand(java.util.Map)	startsWith(java.lang.String)	java.lang.String	SOURCE
demo.taint.RuntimeExec	getCommand(java.util.Map)	substring(int)	java.lang.AbstractStringBuilder	SOURCE
demo.taint.RuntimeExec	getCommand(java.util.Map)	length()	java.lang.String	SOURCE
demo.taint.RuntimeExec	getCommand(java.util.Map)	ExecParameterTokenizer(java.lang.String)	demo.taint.ExecParameterTokenizer	SOURCE
demo.taint.RuntimeExec	getCommand(java.util.Map)	getAllTokens()	demo.taint.ExecParameterTokenizer	SOURCE
demo.taint.RuntimeExec	getCommand(java.util.Map)	addAll(java.util.Collection)	java.util.ArrayList	SOURCE
demo.taint.RuntimeExec	getCommand(java.util.Map)	add(E)	java.util.ArrayList	SOURCE
demo.taint.RuntimeExec	getCommand(java.util.Map)	toArray(T[])	java.util.ArrayList	SOURCE
demo.taint.RuntimeExec	getCommand(java.util.Map)	size()	java.util.ArrayList	SOURCE
demo.taint.RuntimeExec	execute(java.util.Map)	IllegalStateException(java.lang.String)	java.lang.IllegalStateException	SOURCE
demo.taint.RuntimeExec	execute(java.util.Map)	getRuntime()	java.lang.Runtime	SOURCE
demo.taint.RuntimeExec	execute(java.util.Map)	getCommand(java.util.Map)	demo.taint.RuntimeExec	SOURCE
demo.taint.RuntimeExec	execute(java.util.Map)	exec(java.lang.String[],java.lang.String[],java.io.File)	java.lang.Runtime	SOURCE
